Gene	Symbol	C1-1 NTR	C1-2 NTR	C2-1 NTR	C2-2 NTR	C3-1 NTR	C3-2 NTR	C4-1 NTR	C4-2 NTR	O1-1 NTR	O1-2 NTR	O2-1 NTR	O2-2 NTR	O3-1 NTR	O3-2 NTR	O4-1 NTR	O4-2 NTR	O5-1 NTR	O5-2 NTR	O6-1 NTR	O6-2 NTR
ENSG00000276747	PADI6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000074964	ARHGEF10L	NaN	NaN	NaN	NaN	0.6221	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	0.5344	NaN	NaN	NaN	0	NaN	0.2076
ENSG00000117148	ACTL8	0.078	0.0085	0	0	0	0.078	0.012	0.0481	NaN	NaN	0.5428	0	0	NaN	0	NaN	0	0.1018	0	0
ENSG00000158786	PLA2G2F	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
ENSG00000162543	UBXN10	0.3238	0.2917	0.2773	0.3272	0.3199	0.2917	0.3971	0.386	0.8243	0.8772	0.8454	0.8231	0.859	0.7726	0.5787	0.4906	0.5713	0.6325	0.1349	0.1074
ENSG00000158816	VWA5B1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000158825	CDA	NaN	NaN	NaN	NaN	0	0	1	NaN	1	1	0	0	0.2138	0	NaN	0	0	NaN	0	0
ENSG00000162643	DNAI3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000142871	CCN1	0.7204	0.6114	0	0.7049	0.6921	0.3318	0.3287	0.5921	0.951	0.4931	1	0	0.6142	0.258	0	0	0.903	0.5989	0.3198	0.3275
ENSG00000137975	CLCA2	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000016490	CLCA1	0.0238	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
ENSG00000162398	LEXM	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000143001	TMEM61	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000169174	PCSK9	0.0901	0	0.2981	0.2535	0.1252	0.3551	0.2854	0.3508	0.8685	0.78	0.7595	0.8438	0.7878	0.765	0.4331	0.1919	0.2668	0.4133	0.0114	0.1268
ENSG00000162409	PRKAA2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN
ENSG00000117480	FAAH	0.1157	0.0227	0	0.1072	0.5145	0	0.4138	0.329	0.2416	0.4187	0.1391	0.1198	0.2669	0.4083	0.2002	0.2742	0.3014	0.3263	0.3668	0.2329
ENSG00000197587	DMBX1	0	NaN	NaN	1	NaN	NaN	1	0	0.2351	0.3253	0.7837	0.7021	0.7547	0.5079	0.3989	0	0.2121	0.1054	0.0719	0.3302
ENSG00000186118	TEX38	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	1	0	1	0	0	NaN	1	NaN	1	1	NaN
ENSG00000137960	GIPC2	0	NaN	0	NaN	NaN	NaN	NaN	NaN	0	0.2449	0	0	0	0.1497	NaN	0	0	NaN	0	NaN
ENSG00000122420	PTGFR	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000137959	IFI44L	NaN	NaN	0	NaN	NaN	0.4959	NaN	NaN	0.8669	0.23	1	0	1	0	NaN	NaN	NaN	0	0.0149	0
ENSG00000137965	IFI44	0	NaN	0.318	NaN	0	0	0.117	0	0.2039	0.2801	0.3838	0.2431	0.4523	0.3059	0	NaN	NaN	0	0.1974	0.2258
ENSG00000117114	ADGRL2	NaN	NaN	NaN	NaN	1	0	NaN	NaN	0	1	0	0.4413	0	0.6069	0	NaN	0	NaN	NaN	NaN
ENSG00000171819	ANGPTL7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.174	0	0	NaN	0	NaN	NaN	NaN	NaN	NaN
ENSG00000120942	UBIAD1	0.3789	0.3468	0.438	0.4559	0.3724	0.3306	0.2849	0.4119	0.9039	0.9006	0.8636	0.9118	0.8345	0.7099	0.6464	0.6475	0.6283	0.7025	0.3472	0.3845
ENSG00000204624	DISP3	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0	1	NaN	NaN	0	0	0.4418	0.2727
ENSG00000132879	FBXO44	0.1238	0	0	0	0.422	0	0	0	0.5127	0.2976	0	0.2555	0.3215	0.1725	0	0.0472	0	0.5107	0.1882	0
ENSG00000116663	FBXO6	0	0.0663	0.0981	0	0.0308	0	0.0169	0	0.4855	0.2649	0.3732	0.3584	0.2356	0.1531	0.1707	0.0762	0.1179	0.2335	0.0466	0.0999
ENSG00000189280	GJB5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000189433	GJB4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN
ENSG00000188910	GJB3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	NaN	0	NaN	NaN	NaN	NaN	0	NaN	NaN
ENSG00000187513	GJA4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.4087	0.4407	0.3897	0.1394	0.3642	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000197056	ZMYM1	0.1724	0.1813	0.0555	0.1359	0.1774	0.0401	0.1249	0.0849	0.8727	0.8977	0.9129	0.7184	0.773	0.7411	0.2943	0.2336	0.205	0.2126	0.0785	0.095
ENSG00000204060	FOXO6	0.2241	0.7579	1	0.9348	0.1488	0.8511	NaN	0	0.5788	0.8062	1	0.4281	0.9099	0.928	NaN	0	0.2645	0.3609	0.2345	0.3913
ENSG00000177181	RIMKLA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	0	0.3973	0.0515	NaN	NaN	NaN	1	NaN	NaN
ENSG00000127125	PPCS	0.1177	0.222	0.1192	0.2054	0.1338	0.1041	0.0599	0.1638	0.4682	0.4069	0.5368	0.5375	0.505	0.3918	0.2494	0.1003	0.2918	0.2244	0.0638	0.0306
ENSG00000186409	CCDC30	0.1046	0.4	0	0.2838	0	0	0	0.0873	0.4597	0.2068	1	0.46	0.5561	0.0254	NaN	0	NaN	0	0	0
ENSG00000183347	GBP6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.9574	NaN
ENSG00000197147	LRRC8B	0.2453	0.2764	0.23	0.2283	0.2629	0.2455	0.3018	0.3843	0.6644	0.6964	0.8172	0.7306	0.6008	0.5977	0.7212	0.5064	0.4445	0.5904	0.1512	0.1459
ENSG00000288629		NaN	NaN	0	NaN	0	NaN	NaN	0.0185	0.2607	0	NaN	0.5217	0.7189	1	1	1	NaN	1	0	1
ENSG00000171488	LRRC8C	0.2623	0.2927	0.2728	0.2654	0.3493	0.2641	0.3945	0.4752	0.8568	0.8906	0.9214	0.8006	0.7591	0.779	0.7503	0.7277	0.5269	0.6481	0.0646	0.0759
ENSG00000271949		0.7464	0.7787	0.3588	0.1202	0	0.43	0.1537	0.4218	0.6917	0.5011	0.3827	1	0.7729	0.9978	1	0.6649	0.5461	0.6838	0	NaN
ENSG00000157184	CPT2	0.3002	0.2884	0.2996	0.3035	0.1746	0.1876	0.2174	0.1662	0.6602	0.6383	0.6765	0.7079	0.5351	0.652	0.4823	0.4199	0.3708	0.4465	0.0476	0.0369
ENSG00000211452	DIO1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000116212	LRRC42	0.1243	0.1264	0.1803	0.109	0.2319	0.1639	0.1799	0.1316	0.7686	0.668	0.7267	0.6185	0.6964	0.4814	0.3933	0.3549	0.3248	0.3924	0.1237	0.0871
ENSG00000116205	TCEANC2	0.296	0.3002	0.1698	0.2941	0.2615	0.164	0.1758	0.2581	0.8861	0.8667	0.8189	0.8363	0.7996	0.6181	0.2919	0.7387	0.7784	0.3887	0.0969	0.0603
ENSG00000162692	VCAM1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3253	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000162695	SLC30A7	0.1958	0.1192	0.1496	0.1215	0.1314	0.1498	0.1183	0.128	0.6903	0.6706	0.6032	0.6137	0.6436	0.4985	0.4551	0.4458	0.2469	0.3458	0.1577	0.1524
ENSG00000170989	S1PR1	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	0.7666	0.8317	0.7748	0.7371	0.6972	0.7345	NaN	NaN	NaN	0	0	0
ENSG00000185946	RNPC3	0.1055	0.116	0.1026	0.1011	0.093	0.0793	0.1372	0.0945	0.717	0.6587	0.6278	0.745	0.6225	0.6234	0.2482	0.2398	0.2639	0.3007	0.0914	0.1068
ENSG00000240038	AMY2B	0.0814	0.0092	0.0058	0.0436	0.0423	0.058	0.0562	0.0737	0.728	0.3801	0.3697	0.3857	0.4013	0.4174	0.0744	0.043	0.0971	0.1343	0.0802	0.1534
ENSG00000116731	PRDM2	0.5123	0.5273	0.5554	0.4178	0.6086	0.5223	0.6807	0.7131	0.9041	0.9473	0.9482	0.9025	0.7674	0.7704	0.7892	0.807	0.8004	0.7884	0.2592	0.3292
ENSG00000189337	KAZN	0.3512	0.6876	0.2281	0	0.3805	0.0585	0.2909	0.3455	0.1717	0.2915	0.4127	0.4381	0.5369	0.2302	0.7517	0.4015	0.3967	0.4758	0.3364	0.0229
ENSG00000171729	TMEM51	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2411	0.8252	0.747	0.6545	1	0.1264	1	NaN	NaN	NaN	0	NaN
ENSG00000023228	NDUFS1	0.0398	0.0374	0.0734	0.06	0.0462	0.0355	0.0368	0.0311	0.2093	0.2144	0.166	0.1885	0.1584	0.1703	0.111	0.0708	0.0661	0.0875	0.0148	0.0161
ENSG00000183671	CMKLR2	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	1	0	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN
ENSG00000232125	DYTN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.554	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000114739	ACVR2B	0.112	0.8701	0.4095	0.6785	0.3407	0	0.3384	0.1456	0.7986	0.9116	0.9614	0.7513	0.6572	0.5691	0.7435	0.7757	0.6873	0.7242	0	0.2809
ENSG00000157036	EXOG	0.3299	0.0746	0.4428	0.4659	0.1334	0.1134	0.0861	0.0117	0.5735	0.5847	0.5053	0.5798	0.7039	0.4485	0.2663	0	0.183	0.2356	0.14	0.0526
ENSG00000114742	WDR48	0.0787	0.0838	0.1422	0.0971	0.047	0.0536	0.0732	0.0663	0.501	0.4558	0.4658	0.4465	0.3265	0.2132	0.2039	0.1391	0.1426	0.2392	0.0546	0.0612
ENSG00000168026	TTC21A	0.1601	0.5171	0	0.1752	0.3438	0	0	0.2677	1	0	0	0.4906	0.4921	0.4748	0	0	0	0.5842	0	0
ENSG00000179934	CCR8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
ENSG00000179796	LRRC3B	NaN	NaN	NaN	NaN	NaN	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000187118	CMC1	0.0258	0.019	0.0377	0.0025	0.0063	0	0.002	0.0214	0.1103	0.0394	0.109	0.0609	0.0739	0.0827	0.0518	0.0041	0.066	0.0339	0.0036	0
ENSG00000206559	ZCWPW2	0	0	0	0	0	0.6344	0	0.19	0.2422	0.1752	0.0691	0.2561	0	0	0	0	0.1995	0.1571	0	0.1714
ENSG00000283563		0	0	NaN	NaN	0.3455	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3338	NaN	NaN	NaN
ENSG00000144642	RBMS3	NaN	NaN	NaN	NaN	0.3455	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000127824	TUBA4A	0.1394	0.0954	0.2754	0.1801	0.1394	0.0872	0.0919	0.1616	0.2958	0.2934	0.3575	0.2841	0.3431	0.2699	0.1795	0.1726	0.2669	0.2746	0.1405	0.136
ENSG00000054356	PTPRN	0	0.0943	0	0	0.4652	0.7998	NaN	0.4574	0	0	0	0.0507	0.047	0.0701	0	0	0	0.1522	0.0635	0.2021
ENSG00000123992	DNPEP	0.0261	0.0377	0.0626	0.0544	0.0403	0.028	0.0259	0.0351	0.1574	0.1942	0.1589	0.172	0.1784	0.1553	0.0875	0.0514	0.0866	0.1183	0.0551	0.0605
ENSG00000123989	CHPF	0.2154	0.1834	0.3306	0.2063	0.1991	0.2342	0.1551	0.2234	0.2442	0.2754	0.3303	0.4338	0.18	0.1687	0.3456	0.3633	0.3157	0.4486	0.1785	0.1812
ENSG00000196604	POTEF	0.1406	0.2929	0.1265	0	0.3627	0.4733	0.2326	0.1481	0.2845	0.603	0.0496	0.1964	0.3449	0.1737	0.1967	0.4227	0.428	0.4026	0.235	0
ENSG00000152076	CCDC74B	0	0	NaN	NaN	1	1	0	0	0.6487	1	1	1	1	0.3043	NaN	NaN	0.5343	0.6097	0.3985	0.7158
ENSG00000136699	SMPD4	0.1227	0.1752	0.1999	0.1762	0.1256	0.1228	0.1533	0.1607	0.3988	0.4327	0.4317	0.3948	0.3768	0.3241	0.2946	0.2317	0.2584	0.2855	0.105	0.1051
ENSG00000152086	TUBA3E	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000136710	CCDC115	0.0121	0.0497	0.0218	0.1449	0.0905	0.1646	0.1036	0.0457	0.2796	0.1952	0.3138	0.2062	0.2383	0.1284	0.2028	0.0771	0.0746	0.1829	0.2201	0.0914
ENSG00000290317		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000182983	ZNF662	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	0	0	NaN	0.7305	0.3401	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000240747	KRBOX1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000144649	GASK1A	NaN	0	0.9082	NaN	NaN	NaN	NaN	NaN	NaN	0	0.836	0.5739	0.2062	1	0	NaN	NaN	NaN	NaN	NaN
ENSG00000163788	SNRK	0.5248	0.7143	0.5642	0.5826	0.777	0.8357	0.6273	0.79	0.8236	0.8974	0.9081	0.8234	0.7617	0.7082	0.8456	0.7549	0.7856	0.7938	0.1458	0.1987
ENSG00000131375	CAPN7	0.1046	0.1244	0.101	0.1132	0.0981	0.117	0.0552	0.0664	0.5837	0.5904	0.5944	0.4727	0.4249	0.4469	0.2136	0.183	0.1742	0.3176	0.0243	0.0359
ENSG00000144597	EAF1	0.6423	0.5464	0.5475	0.5041	0.6379	0.5206	0.6189	0.7026	0.9412	0.9166	0.8784	0.913	0.8061	0.7284	0.8453	0.7018	0.7207	0.8215	0.2674	0.2804
ENSG00000169814	BTD	0.1242	0.107	0.1033	0.1302	0.0927	0.0928	0.1491	0.1715	0.2178	0.208	0.2371	0.147	0.3208	0.248	0.2946	0.2531	0.2694	0.2663	0.0856	0.1288
ENSG00000131386	GALNT15	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000154814	OXNAD1	0.0144	0.0277	0.0372	0.1496	0.0846	0.0466	0.1632	0.1435	0.4846	0.3979	0.4266	0.4447	0.437	0.3474	0.0368	0.086	0.1412	0.0911	0.083	0.0436
ENSG00000083937	CHMP2B	0.0901	0.0659	0.1018	0.0328	0.0693	0.0999	0.0693	0.0428	0.4274	0.3708	0.3078	0.3569	0.3709	0.2835	0.229	0.1571	0.2461	0.2497	0.067	0.0569
ENSG00000179097	HTR1F	NaN	0	NaN	NaN	NaN	NaN	0	NaN	0.6264	0.4263	0	0.9019	0.846	NaN	0	NaN	NaN	NaN	NaN	NaN
ENSG00000175105	ZNF654	0.3144	0.2296	0.4476	0.3807	0.3704	0.3964	0.2491	0.2047	0.8258	0.8187	0.7754	0.8088	0.7206	0.6031	0.7006	0.4443	0.6862	0.6947	0.2141	0.1275
ENSG00000198919	DZIP3	0.0059	0.0091	0.0064	0.0137	0.0091	0.0241	0.0349	0.0337	0.1085	0.1524	0.0935	0.2319	0.1601	0.1264	0.067	0.0772	0.0216	0.0892	0.0238	0.0108
ENSG00000163519	TRAT1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	0
ENSG00000177707	NECTIN3	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0	0	NaN	NaN	NaN	NaN	0	0
ENSG00000153283	CD96	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0928	0.0629	0	0.0491	0.0613	0.0595	NaN	NaN	NaN	NaN	NaN	0
ENSG00000272104		0.1657	0	0.1064	1	0.4228	NaN	NaN	0.3739	0.1767	0.6794	0.8966	1	0.5216	1	0.4921	0.7012	0.5994	0.3365	0.1583	0.3278
ENSG00000114735	HEMK1	0.0371	0.0724	0.0889	0.0791	0.0406	0.0231	0.1273	0.0544	0.3604	0.2873	0.3309	0.3735	0.3995	0.3107	0.1356	0.0557	0.1611	0.2301	0.034	0.0249
ENSG00000114738	MAPKAPK3	0.0466	0.0342	0.0334	0.0302	0.0297	0.0229	0.044	0.0256	0.1927	0.1218	0.1637	0.1572	0.1542	0.1419	0.0856	0.0433	0.0885	0.1083	0.031	0.0466
ENSG00000088538	DOCK3	NaN	NaN	0	NaN	0.4925	NaN	NaN	0	NaN	0.077	0	0	0.2361	0.2535	0.1563	NaN	NaN	0	0	0
ENSG00000145050	MANF	0.2992	0.216	0.5666	0.1493	0.3243	0.1773	0.2533	0.1549	0.5112	0.4837	0.2939	0.431	0.4654	0.3886	0.4161	0.3312	0.4251	0.5398	0.2679	0.2537
ENSG00000160145	KALRN	0	NaN	NaN	NaN	0.5039	NaN	NaN	NaN	0.263	0.1773	0.1959	0.2989	0.2104	0.2822	0.7204	1	0	NaN	0	0
ENSG00000114491	UMPS	0.1573	0.217	0.2794	0.3535	0.1478	0.113	0.2474	0.2167	0.7785	0.7935	0.8088	0.7698	0.7264	0.6817	0.3983	0.3228	0.317	0.4343	0.0624	0.0746
ENSG00000114547	ROPN1B	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	1
ENSG00000163885	CFAP100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.4963	NaN	0	NaN	NaN	NaN	NaN	NaN	0
ENSG00000180767	CHST13	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	0	0.4876	0.3674	0.6065	0.0456	0.5403	NaN	NaN	NaN	0	0.8985	NaN
ENSG00000145087	STXBP5L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	0.6698
ENSG00000163833	FBXO40	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0	NaN	0.49	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000145088	EAF2	0	0	0	0	0.0283	0.3569	0.0229	0.2524	0.4717	0.3896	0.3494	0.3542	0.4205	0.2452	0.139	0	0.1426	0.3895	0.0516	0.044
ENSG00000163406	SLC15A2	0.1259	0	0.731	0.423	0.3852	0	0	0.0905	0.6386	0.5929	0.8866	0.9235	0.8524	0.7147	0.3856	0.6861	0.6116	0.2573	0.2282	0.2611
ENSG00000259956	RBM15B	0.6206	0.6644	0.5901	0.5894	0.5987	0.5826	0.6362	0.6661	0.8361	0.8401	0.8251	0.817	0.7869	0.7666	0.7323	0.7027	0.7573	0.8034	0.4673	0.4456
ENSG00000164080	RAD54L2	0.2637	0.472	0.3534	0.4848	0.4878	0.4314	0.3927	0.4685	0.8327	0.854	0.8174	0.7855	0.6732	0.7101	0.836	0.5363	0.6783	0.7474	0.2509	0.1528
ENSG00000164081	TEX264	0.0688	0.1785	0.0934	0.1345	0.13	0.1077	0.1125	0.1735	0.4489	0.4381	0.3978	0.4235	0.4383	0.4159	0.2405	0.3331	0.2547	0.1802	0.0675	0.0473
ENSG00000164082	GRM2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.7455	NaN	0.5147	NaN	0.6616	NaN	0	NaN	NaN	1	NaN	NaN
ENSG00000114529	C3orf52	0	0.2298	1	NaN	0.5	0.526	0.3582	0.1862	0.9363	0	0.3134	0.5229	0.5866	0.1373	0.1616	0.1472	0.5505	0.2221	0.2243	0.2927
ENSG00000091972	CD200	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	NaN	1	0.3099	1	NaN	1	NaN	NaN	NaN	NaN
ENSG00000138459	SLC35A5	0.1002	0.1472	0.2505	0.2593	0.1141	0.109	0.1103	0.1423	0.5626	0.465	0.596	0.4861	0.4713	0.4075	0.2925	0.2678	0.3591	0.3018	0.1241	0.0907
ENSG00000163607	GTPBP8	0.1507	0.1267	0.1495	0.115	0.0743	0.1159	0.1131	0.1142	0.5442	0.5492	0.4744	0.5216	0.5051	0.4053	0.1776	0.241	0.2393	0.2143	0.0878	0.0996
ENSG00000144857	BOC	0	NaN	0	NaN	NaN	0	0.1091	NaN	NaN	0	NaN	0	0	0	NaN	0.4798	0	0	NaN	NaN
ENSG00000144741	SLC25A26	0.0425	0.0376	0.038	0.0857	0.107	0.0442	0.0466	0.0366	0.1412	0.1754	0.2011	0.1362	0.1946	0.09	0.1231	0.0775	0.0667	0.1268	0.081	0.0394
ENSG00000163376	KBTBD8	0.6513	0.737	0.674	0.5681	0.664	0.7878	0.6416	0.6501	0.9643	0.9447	0.9917	0.9025	0.8109	0.7325	0.8334	0.773	0.7418	0.7848	0.247	0.2396
ENSG00000134253	TRIM45	0.0646	0.2183	0.3642	0.0468	0	0.4002	0.2412	0.219	0.6424	0.5352	0.6855	0.6644	0.679	0.4496	0.3063	0.2004	0.5054	0.2546	0.1977	0.2536
ENSG00000070785	EIF2B3	0.0312	0.0083	0.0464	0.0165	0.0132	0.0225	0.0137	0.0084	0.1136	0.1622	0.1165	0.1575	0.1434	0.0947	0.041	0.023	0.0248	0.0544	0.0059	0.0058
ENSG00000126107	HECTD3	0.082	0.0968	0.0995	0.0703	0.0875	0.0591	0.0857	0.0826	0.3472	0.3542	0.3771	0.3418	0.2889	0.2398	0.1988	0.1387	0.1569	0.2069	0.0714	0.0522
ENSG00000162415	ZSWIM5	NaN	1	0.1397	0	0.5319	0.4052	1	1	NaN	0.4479	0.6843	1	0.6254	0.6686	0	0	NaN	0.8645	0	0.1387
ENSG00000132781	MUTYH	0.1316	0.0753	0.0558	0.1288	0.0955	0.1001	0.1012	0.2552	0.3755	0.431	0.5276	0.4482	0.4682	0.4242	0.3065	0.5348	0.477	0.3803	0.1781	0.2152
ENSG00000288208		0.0797	0.114	0.0642	0.0958	0.006	0.1265	0.0153	0.1669	0.3755	0.2787	0.4679	0.2829	0.3609	0.3217	0.2682	0.3569	0.376	0.2596	0.0982	0.1407
ENSG00000127463	EMC1	0.0787	0.0771	0.1156	0.0783	0.0782	0.1022	0.1109	0.0916	0.4752	0.4339	0.4056	0.393	0.4177	0.3434	0.2204	0.1933	0.1492	0.2414	0.0959	0.1012
ENSG00000211454	AKR7L	1	0.0787	NaN	1	1	0	NaN	NaN	0	1	1	0.3456	0.6069	NaN	1	0	NaN	1	0	0
ENSG00000162482	AKR7A3	NaN	0.3847	0	0.141	0	0	0.212	0	1	0	1	0.2276	0.2752	0.8094	NaN	NaN	0	0.4784	0	0.1154
ENSG00000053371	AKR7A2	0.0318	0.0177	0.03	0.0249	0.0453	0.0169	0.022	0.0238	0.082	0.0939	0.0992	0.065	0.0853	0.044	0.032	0.0424	0.0758	0.0339	0.0501	0.0166
